ID|Subject|Email_Body|Intent|Mentioned_Location|Mentioned_Price
14|Offer - Studio flat Bethnal Green|Hi there, following my viewing on Monday, I'd like to offer £280,000 for the studio flat in Bethnal Green. I'm a first-time buyer with a deposit ready and mortgage agreed. Hope this is acceptable. Let me know! Tom|Offer_Submission|Bethnal Green|£280,000
15||saw your listing for the flat on camden high street, can i come see it tomorrow evening? im looking for somewhere asap. cheers|Viewing_Request|Camden|
16|Property valuation - Hampstead|Dear Sirs, I require a professional valuation for my 5-bedroom Victorian terraced house in Hampstead. The property is freehold, chain-free, and recently refurbished. I would appreciate a detailed market analysis. Please contact me to arrange a suitable time. Yours faithfully, Eleanor Whitmore|Valuation_Request|Hampstead|
17|Mould in bedroom - health hazard|Good morning, I need to report significant mould growth in the main bedroom. It's appeared over the last few weeks and is now covering a large section of the wall. I'm concerned about the health implications. Can you arrange for someone to inspect and treat this urgently? The ventilation doesn't seem adequate. Thanks, Lisa|Maintenance_Issue||
18|Viewing request for rental - Brixton|Hello! I'm interested in the 2-bed flat in Brixton advertised at £1,800 pcm. Could we arrange a viewing for this Thursday or Friday? I have excellent references from my current landlord. Look forward to hearing from you.|Viewing_Request|Brixton|£1,800
19|Offer on maisonette - Hackney|Morning, I'd like to put in an offer of £550,000 for the 2-bed maisonette in Hackney Wick. Saw it last week and really liked it. I'm chain-free with a 25% deposit. What do you reckon the vendor will say? Cheers, Alex|Offer_Submission|Hackney|£550,000
20|electrical problem in kitchen|Hi, the electrics keep tripping in the kitchen whenever I use the kettle and toaster at the same time. I think there might be a wiring issue. Can you get an electrician to check it out? Don't want to risk a fire.|Maintenance_Issue||
21|Market appraisal for house sale|Good afternoon, I'm planning to put my 3-bedroom semi-detached house on the market in Walthamstow. It's on a quiet residential street with good schools nearby. Could you visit to provide a valuation and discuss your selling fees? I'm available most weekday mornings. Kind regards, Priya|Valuation_Request|Walthamstow|
22|View the flat on Grove Road please|Hi can I please book a viewing for the 1 bed flat on Grove Road? I'm looking to rent from mid-May. The listing says £1,300 pcm - does that include bills? Available to view anytime this week. Thanks!|Viewing_Request|Grove Road|£1,300
23|REVISED OFFER - Property in Richmond|Dear Agent, Further to the vendor's rejection of my initial offer, I would like to submit a revised offer of £1,125,000 for the 4-bedroom house in Richmond. This is my absolute maximum. I am a cash buyer and can exchange within 2 weeks. Please convey this to the seller urgently. Best regards, Jonathan Parker|Offer_Submission|Richmond|£1,125,000
24|Front door lock broken|the front door lock is jammed and i can barely get my key in. had to force it this morning and im worried im going to get locked out. needs fixing asap please|Maintenance_Issue||
25|Valuation for buy-to-let property|Hi there, I'm looking to value my buy-to-let property in Elephant & Castle before refinancing. It's a 1-bed flat currently tenanted at £1,400 pcm. When can you come round for a valuation? Thanks, Graham|Valuation_Request|Elephant & Castle|£1,400
26|Viewing - New build in Woolwich|Good morning, I would like to arrange a viewing for the new build 2-bed apartment in Woolwich Arsenal. I understand it's priced at £425,000 and is Help to Buy eligible. I'm available this weekend. Please confirm. Thanks, Kayla|Viewing_Request|Woolwich|£425,000
27|Damp smell in living room|There's a really bad damp smell in the living room and I've noticed the wallpaper is peeling in the corner near the window. Can someone come and investigate? I think there might be a leak or rising damp.|Maintenance_Issue||
28|Offer for house - 12 Maple Avenue|Hello, I viewed the 3-bed terraced house at 12 Maple Avenue yesterday and would like to offer £520,000. I have a mortgage offer from Nationwide and my current property sale is nearly complete. Can proceed quickly. Please let me know the vendor's thoughts. Kind regards, Emma|Offer_Submission||£520,000
29|Valuation needed urgently|Hi need to get my flat valued for divorce settlement. Its a 2 bed in Lewisham, leasehold with about 80 years left on the lease. How soon can you come out? Need this done by end of the week if possible. Thanks|Valuation_Request|Lewisham|
30|viewing for family home in Ealing|Hi, we're a family of four looking for a 4-bedroom house in Ealing and saw your listing for the one on Northfield Avenue. Could we view it this Sunday? Budget is up to £850k. Also interested to know the EPC rating. Thanks, The Patels|Viewing_Request|Ealing|£850,000
31|Dishwasher leaking everywhere|The dishwasher is leaking water all over the kitchen floor. I've turned it off but there's already water damage to the floor. Please send someone to fix or replace it urgently.|Maintenance_Issue||
32|Offer - penthouse Battersea|Good afternoon, I wish to make an offer of £1,650,000 for the penthouse apartment in Battersea. I understand it's a new development with river views. I have proof of funds available and no onward chain. Please advise if this is acceptable to the developer. Regards, Mr. Singh|Offer_Submission|Battersea|£1,650,000
33|Property appraisal - Dulwich|Dear Team, I am considering selling my 4-bedroom Edwardian house in East Dulwich. The property has original features, a large garden, and is in a conservation area. Could you arrange a valuation appointment? I'm particularly interested in your marketing strategy for period properties. Thank you, Richard|Valuation_Request|Dulwich|
34|urgent viewing needed|hi im looking for a flat urgently as my current landlord is selling up. saw your 1 bed in peckham for £1200 pcm. can i see it today or tomorrow? im a good tenant with references. please let me know asap|Viewing_Request|Peckham|£1,200
35|Radiator cold in spare room|One of the radiators in the spare bedroom isn't heating up at all while all the others are working fine. I've tried bleeding it but no air came out. Think it needs a professional to look at it.|Maintenance_Issue||
36|Valuation for Victorian conversion|Good morning, I own the ground floor flat in a Victorian conversion in Clapham. 2 bedrooms, private garden, recently renovated. Looking to sell in the next few months. Can you provide a valuation and fee structure? Regards, Sophie|Valuation_Request|Clapham|
37|Viewing Saturday - house in Wimbledon|Hello, I'm very interested in the 3-bed house in Wimbledon listed at £775,000. Are you available for a viewing this Saturday around 11am? I'm a first-time buyer with agreement in principle sorted. Thanks, Chris|Viewing_Request|Wimbledon|£775,000
38|FINAL OFFER - Flat in Greenwich|This is my final offer of £395,000 for the 2-bedroom flat in Greenwich (ref: GRN-8821). I've already offered £380k and £390k which were rejected. This is absolutely my limit. I'm chain-free with cash deposit ready. Please confirm if vendor will accept. James|Offer_Submission|Greenwich|£395,000
39|no hot water for 3 days|still no hot water and its been 3 days now. i know you said someone was coming but they never turned up. this is ridiculous im having to shower at the gym. please sort this out today|Maintenance_Issue||
40|Valuation for probate purposes|Dear Sir/Madam, I require a formal valuation of my late father's property in Barking for probate purposes. It's a 3-bedroom semi-detached house, freehold. Please advise your fees for probate valuations and when you could attend. Yours sincerely, Margaret Foster|Valuation_Request|Barking|
41|viewing tomorrow possible?|hi can i view the 2 bed flat in finsbury park tomorrow? the one going for £1650 pcm. im available after 3pm. let me know. thanks|Viewing_Request|Finsbury Park|£1,650
42|Garden gate hanging off|The back garden gate is hanging off its hinges and won't close properly. Security concern as anyone could get in. Can you send someone to repair it please?|Maintenance_Issue||
43|Offer on bungalow - Sutton|Good afternoon, I would like to offer £465,000 for the 2-bedroom bungalow in Sutton. It's perfect for my retired parents. I can complete within 6 weeks and have no chain. Please let me know if this is acceptable. Many thanks, Catherine|Offer_Submission|Sutton|£465,000
44|Valuation request - ex-council flat|Hi, I've got a ex-council 2-bed flat in Tower Hamlets that I'm thinking of selling. Right to buy, freehold, good condition. What do you think it's worth? Can you come round next week sometime? Ta, Dave|Valuation_Request|Tower Hamlets|
45|Book viewing - luxury flat Kensington|Good evening, I wish to arrange a viewing for the luxury 2-bedroom apartment in Kensington, listed at £3,500 pcm. I require a property close to my office in Knightsbridge. Would Tuesday afternoon suit? I can provide employer references and proof of income. Regards, Dr. Ahmed|Viewing_Request|Kensington|£3,500
46|Ceiling light not working|The main ceiling light in the living room has stopped working. I've changed the bulb but still nothing. Might be the wiring. Can you get someone to check it?|Maintenance_Issue||
47|Offer - Investment property E16|Hi, I'm interested in purchasing the 1-bed flat in E16 as a buy-to-let investment. I'd like to offer £285,000. It's currently tenanted which is ideal for me. I'm a cash buyer so can move quickly. What are the vendor's thoughts? Thanks, Mr. Wong|Offer_Submission|E16|£285,000
48|Need valuation for remortgage|Hello, I need to get my house valued for remortgage purposes. It's a 3-bed semi in Enfield, freehold, with extension done 2 years ago. When's your earliest availability? Need it done fairly quickly. Cheers, Martin|Valuation_Request|Enfield|
49|Viewing - Converted warehouse Shoreditch|Hi there, love the look of the converted warehouse flat in Shoreditch you've got listed. The one with the exposed brick and mezzanine bedroom at £2,400 pcm. Can I see it this week? Very keen! Thanks, Jess|Viewing_Request|Shoreditch|£2,400
50|washing machine flooding|URGENT - the washing machine is flooding the kitchen every time i use it. waters going everywhere and i think its damaged the floor. need this fixed immediately please|Maintenance_Issue||
51|Viewing - Garden flat Shepherd's Bush|Good morning, I'm interested in viewing the garden flat in Shepherd's Bush advertised at £1,950 pcm. I work from home so the garden space is essential. Could we arrange a viewing for early next week? Many thanks, Rebecca|Viewing_Request|Shepherd's Bush|£1,950
52|Blocked drain outside property|The drain outside the front of the property is completely blocked and there's standing water everywhere. It smells awful and I'm worried about flooding if it rains. Can you get someone out to clear it please?|Maintenance_Issue||
53|Offer on maisonette - Balham|Hi, I'd like to put forward an offer of £615,000 for the 3-bed maisonette in Balham. Viewed it on Thursday and think it's perfect for us. We're first-time buyers with mortgage sorted. Let me know what the seller thinks. Thanks, Sarah & Mike|Offer_Submission|Balham|£615,000
54|Valuation for house sale - Chiswick|Dear Estate Agent, I wish to instruct a valuation for my 4-bedroom terraced house in Chiswick. The property benefits from a loft conversion and south-facing garden. I am targeting a sale price around £950,000. Please contact me to arrange an appointment. Yours sincerely, Andrew Mitchell|Valuation_Request|Chiswick|£950,000
55|can i see the studio flat|hi saw your ad for the studio in kings cross. is it still available? if so can i come see it tonight or tomorrow? budget is around 1100 pcm. cheers|Viewing_Request|Kings Cross|£1,100
56|Oven not working properly|The oven isn't heating up properly - takes ages to get hot and then the temperature isn't consistent. Makes cooking really difficult. Can you arrange for someone to service it or replace it? Thanks|Maintenance_Issue||
57|Market appraisal needed - Harrow|Hello, I'm planning to sell my property in Harrow and would like a professional market appraisal. It's a 3-bed semi, freehold, with recently fitted kitchen. What's your availability for a valuation visit? Kind regards, Ranjit|Valuation_Request|Harrow|
58|Viewing this weekend - Docklands|Hi there, we're looking for a 2-bed rental in Docklands and your property at £1,850 pcm looks ideal. Any chance of viewing this Saturday morning? We can provide excellent references from current landlord. Best, Tony|Viewing_Request|Docklands|£1,850
59|FINAL OFFER - House in Wandsworth|This is my absolute final offer of £735,000 for the property on Trinity Road, Wandsworth. My previous offer of £715k was rejected but this is genuinely the maximum I can go to. Chain-free buyer, ready to proceed. Please confirm urgently. Marcus|Offer_Submission|Wandsworth|£735,000
60|freezing cold - heating not working|been without heating for 5 days now and its absolutely freezing. keep calling but no one picks up. this is terrible service. need someone here TODAY to fix the boiler or im reporting you to the council|Maintenance_Issue||
61|Valuation appointment - Streatham|Good afternoon, could you please arrange a valuation for my 2-bed flat in Streatham? It's on the first floor of a converted Victorian house, leasehold. Looking to sell within the next 3 months. Thanks, Helen|Valuation_Request|Streatham|
62|View property on Alexandra Road|Morning! Interested in the 3-bed terraced on Alexandra Road you've got listed for £525k. We're serious buyers with deposit ready. Can we view it Tuesday evening around 6pm? Cheers, The Johnsons|Viewing_Request|Alexandra Road|£525,000
63|Offer - New build in Barking Riverside|Dear Sirs, I would like to submit an offer of £365,000 for the 2-bedroom apartment in the new Barking Riverside development. I qualify for Help to Buy and have mortgage agreement in principle from Santander. Please advise. Kind regards, Fatima Khan|Offer_Submission|Barking Riverside|£365,000
64|Window cracked in living room|One of the double-glazed windows in the living room has cracked - looks like the seal has gone and there's condensation between the panes. It's letting in cold air. Needs replacing I think.|Maintenance_Issue||
65|Valuation for ex-local authority flat|Hi, got a 3-bed ex-council flat in Poplar that I bought through right to buy. Want to sell it now. Can you value it and let me know your commission rates? It's got 2 balconies which is quite unusual. Thanks, Kevin|Valuation_Request|Poplar|
66||looking for 1 bed flat in south london, budget max 1300 pcm. saw you have one in new cross. when can i see it? need to move in april. thanks|Viewing_Request|New Cross|£1,300
67|Revised offer - Flat in Putney|Good morning, the vendor rejected my offer of £440,000 for the 2-bed flat in Putney. I'd like to increase this to £455,000 which is my absolute limit. I'm a proceedable buyer with no chain. Please present this urgently. Best regards, Oliver|Offer_Submission|Putney|£455,000
68|SHOWER NOT DRAINING|THE SHOWER TRAY ISNT DRAINING AT ALL AND WATERS JUST SITTING THERE. ITS DISGUSTING AND I CANT USE IT. BEEN LIKE THIS SINCE MONDAY. PLEASE FIX IT ASAP|Maintenance_Issue||
69|Need quick valuation - Romford|Hi there, need to get my house valued quickly for a divorce settlement. 3-bed semi in Romford, freehold, decent condition. Can you come out this week? The sooner the better. Gary|Valuation_Request|Romford|
70|Viewing - Period conversion Muswell Hill|Dear Agent, I am very interested in viewing the ground floor flat in the period conversion on Muswell Hill Broadway, listed at £2,200 pcm. I particularly like the original features mentioned. Available Thursday or Friday afternoon. Regards, Dr. Patterson|Viewing_Request|Muswell Hill|£2,200
71|Offer on bungalow - Bexley|Hi, following our viewing yesterday, we'd like to offer £425,000 for the 2-bed bungalow in Bexley. We're downsizing from a larger house and are chain-free. Perfect property for us. Please let us know. John & Mary|Offer_Submission|Bexley|£425,000
72|toilet keeps running|the toilet cistern keeps running constantly and wont stop filling. its wasting loads of water. can someone come fix it please? the handle needs replacing i think|Maintenance_Issue||
73|Valuation - Investment property|Good afternoon, I own a portfolio of rental properties and I'm looking to value a 1-bed flat in Stratford before refinancing. Currently let at £1,300 pcm with good tenant. When can you visit? Regards, Mr. Patel|Valuation_Request|Stratford|£1,300
74|Urgent viewing needed - Acton|Hi, desperately need to find a flat as current landlord selling up. Saw your 2-bed in Acton at £1,700 pcm. Can I view ASAP - even today if poss? Got references ready. Please help! Emma|Viewing_Request|Acton|£1,700
75|Offer - Victorian terrace Highgate|Good morning, I wish to offer £1,250,000 for the 4-bedroom Victorian terrace in Highgate. Beautiful property and perfect for our growing family. We have 40% deposit and mortgage offer from HSBC. Chain-free. Please advise seller's position. Timothy Greene|Offer_Submission|Highgate|£1,250,000
76|damp patch on bedroom wall|theres a big damp patch appeared on the wall in the main bedroom. looks like its getting bigger. probably a leak from upstairs or something. needs checking out urgently before it gets worse|Maintenance_Issue||
77|Property valuation - Wembley|Dear Team, I require a valuation for my 3-bedroom house near Wembley Stadium. The property is freehold and has been recently renovated throughout. I'm considering selling in Q2. What are your fees? Thank you, Rajesh|Valuation_Request|Wembley|
78|viewing tomorrow lunchtime?|hi can i view the flat in holloway road tomorrow around 1pm? the 1 bed for 1250 pcm. im a professional with good references. let me know asap. thanks|Viewing_Request|Holloway Road|£1,250
79|Counter offer - Property in Brentford|Further to the vendor's rejection of my £520,000 offer, I'd like to counter with £545,000 for the house in Brentford. This reflects the survey findings regarding the roof. I remain very interested but this is fair value. Please respond. Daniel|Offer_Submission|Brentford|£545,000
80|Smoke alarm beeping|The smoke alarm in the hallway keeps beeping every few minutes. I've tried changing the battery but it's still doing it. Really annoying especially at night. Can you sort it please?|Maintenance_Issue||
81|Valuation needed for probate|Good morning, I need a formal probate valuation for my mother's flat in Wood Green following her passing. It's a 1-bed retirement flat, leasehold. Please advise your fees for probate valuations. Yours faithfully, Susan Wright|Valuation_Request|Wood Green|
82|Viewing - Conversion flat Clapham North|Hello, I'd love to view the 1-bed conversion flat near Clapham North station listed at £1,550 pcm. The period features look lovely. I'm available most evenings this week. Looking forward to hearing from you. Anna|Viewing_Request|Clapham North|£1,550
83|Offer on terraced house - Leyton|Hi there, I'd like to make an offer of £485,000 for the 3-bed terraced house in Leyton. It's our first home purchase and we're really excited about it. We have agreement in principle from Nationwide. Hope the vendor accepts! Regards, Chloe|Offer_Submission|Leyton|£485,000
84|kitchen tap dripping constantly|the kitchen tap wont stop dripping no matter how tight i turn it. its been going on for weeks and its really annoying plus wasting water. can a plumber come and fix or replace it?|Maintenance_Issue||
85|Market appraisal - Orpington|Hello, I'm thinking of selling my 4-bed detached in Orpington and would like a market appraisal. Large garden, double garage, quiet cul-de-sac location. What do you think it's worth in the current market? Best, Graham|Valuation_Request|Orpington|
86|View modern flat Canary Wharf|Good afternoon, very interested in the modern 1-bed flat in Canary Wharf you're advertising at £1,900 pcm. I work in finance nearby. Can we arrange a viewing before Friday? I can move quickly. Thanks, James|Viewing_Request|Canary Wharf|£1,900
87|BEST AND FINAL OFFER - Catford|This is my best and final offer of £395,000 for the property in Catford. I've already offered £375k and £385k. Cannot go higher. Cash buyer, no chain, can complete in 3 weeks. Please confirm vendor's decision by COB today. Thanks, Mark|Offer_Submission|Catford|£395,000
88|bedroom radiator cold|one of the radiators in the second bedroom is completely cold while all the others are working fine. ive tried bleeding it but nothing happened. think it needs a proper look|Maintenance_Issue||
89|Valuation - Semi-detached Enfield|Good morning, please could you value my 3-bed semi in Enfield? It has a loft conversion which adds a lot of space. Looking to move closer to family. Available for viewing appointments most days. Regards, Patricia|Valuation_Request|Enfield|
90|Viewing request - House in Twickenham|Hi, we're a family looking to relocate to Twickenham and your 4-bed house at £895,000 looks perfect. Could we view it this Sunday afternoon? We're serious buyers with house sale agreed. The Martins|Viewing_Request|Twickenham|£895,000
91|Offer - Apartment in Bow|Dear Agent, I would like to offer £315,000 for the 1-bedroom apartment in Bow (ref: BOW-2234). I am a first-time buyer with 20% deposit saved. My solicitor is instructed and ready to proceed. Please let me know vendor's response. Kind regards, Lauren|Offer_Submission|Bow|£315,000
92|guttering overflowing|the guttering at the front of the house is overflowing whenever it rains. waters pouring down the wall and i think its causing damp inside. needs clearing out or fixing|Maintenance_Issue||
93|Valuation for BTL property - Ilford|Hi, I need a valuation on my buy-to-let in Ilford before I remortgage. It's a 2-bed flat above shops, currently tenanted at £1,200 pcm. Can you do a valuation this week? Cheers, Mohammed|Valuation_Request|Ilford|£1,200
94|can i see the house on park avenue|saw your listing for the 3 bed house on park avenue. looks great. can i come see it saturday morning? budget is up to 650k. got mortgage sorted already. let me know. paul|Viewing_Request|Park Avenue|£650,000
95|Offer submission - Flat in Cricklewood|Good afternoon, I am pleased to offer £340,000 for the 2-bedroom flat in Cricklewood. The property meets all my requirements and I am a cash buyer with no onward chain. I can exchange within 4 weeks. Please confirm receipt. Mrs. Singh|Offer_Submission|Cricklewood|£340,000
96|no hot water AGAIN|this is the fourth time the hot water has gone off this month. absolutely ridiculous. someone came last week and said it was fixed but its broken again. freezing cold showers are not acceptable. fix it properly this time|Maintenance_Issue||
97|Valuation - Flat near Wimbledon Common|Dear Sirs, I would like to arrange a valuation for my 2-bedroom flat near Wimbledon Common. The property has parking and communal gardens. Leasehold with 125 years remaining. Please advise availability. Yours sincerely, Edward Phillips|Valuation_Request|Wimbledon|
98|Viewing - Penthouse Greenwich|Hello! Really love the look of the penthouse in Greenwich listed at £2,800 pcm. The roof terrace is amazing. Could I view it this week? I'm a company director and can provide employer references. Thanks, Amanda|Viewing_Request|Greenwich|£2,800
99|Offer for new build - Woolwich|Hi, I'd like to offer £405,000 for the new build 2-bed in Woolwich Arsenal. It's Help to Buy eligible which is perfect for me as a first-time buyer. I have my HTB ISA ready. What do the developers say? Thanks, Connor|Offer_Submission|Woolwich|£405,000
100|bathroom extractor fan broken|the extractor fan in the bathroom has stopped working and now the room gets really steamy and damp. mould is starting to appear on the ceiling. can you get it fixed please?|Maintenance_Issue||
ID|Subject|Email_Body|Intent|Mentioned_Location|Mentioned_Price
101|Viewing for N18 flat|Hi, I saw the 2 bed flat in Edmonton N18 on Rightmove for £1,400 pcm. Could we arrange a viewing for this Saturday? Thanks, Mark.|Viewing_Request|N18|£1,400 pcm
102|Camden terraced house|Good afternoon, I am very interested in the freehold terraced house listed in Camden. As a chain-free buyer, I am keen to view ASAP.|Viewing_Request|Camden|N/A
103|(no subject)|hi can i view the property on high st cr0 it is listed at 350 pw let me know when u are free|Viewing_Request|CR0|£350 pw
104|SW1 apartment viewing|Dear Agent, I would like to enquire about the leasehold apartment in SW1 (£650,000). What is the remaining lease length and the ground rent? I'd like to book a viewing for next week. Regards.|Viewing_Request|SW1|£650,000
105|viewing|pls arrange viewing for 4 bed semi detached in islington.|Viewing_Request|Islington|N/A
106|Interested in renting E14|Hello, spotted the 1 bed flat in Canary Wharf E14 going for £2100 PCM. Im moving to London next month, can we do a virtual viewing?|Viewing_Request|E14|£2100 PCM
107|Request to view property|Hi there, I am looking for a 3-bed semi in Croydon. I saw one on your site for £450k. Is it still available to view?|Viewing_Request|Croydon|£450k
108|viewing enquiry|hi is the house in wimbledon sw19 still available for viewings? looking for a long term let around 1800 pcm.|Viewing_Request|SW19|£1800 pcm
109|Property Ref: 49201|Dear Sir/Madam, I wish to register my interest in viewing the ground floor maisonette in Brixton. I have a mortgage in principle up to £400,000.|Viewing_Request|Brixton|£400,000
110|Flat viewings|r u doing viewings today for the e8 flat?|Viewing_Request|E8|N/A
111|Viewing - 2 bed terraced|Hi, I'd like to view the two bed terraced house in N4 (£550,000). Could you confirm the council tax band and EPC rating before we visit?|Viewing_Request|N4|£550,000
112|Renting N1|Morning, saw the studio in Angel N1 for 400 pw. Can I pop round to see it tomorrow at 6pm?|Viewing_Request|N1|£400 pw
113|To let viewing|Good morning, I'm interested in the 2 bedroom flat on King's Road. Is the rent strictly £2,500 PCM or open to negotiation? I'd like to arrange a viewing.|Viewing_Request|King's Road|£2,500 PCM
114|Valuation required|Dear team, I am considering selling my 3-bed semi-detached house in E17. Could you send an agent round next week to give me a valuation?|Valuation_Request|E17|N/A
115|Landlord looking for valuation|Hi, I currently let out a 2 bed flat in SW4 but thinking of selling. Want to know what its worth in current market. Thanks.|Valuation_Request|SW4|N/A
116|Market appraisal|Good afternoon, I am the executor of an estate and require a probate valuation for a freehold property located in Bromley BR1. Please contact me to arrange.|Valuation_Request|BR1|N/A
117|valutaion|need a quick valuation for my flat in se1. wanting to put it on market asap for around 500k. let me know.|Valuation_Request|SE1|£500k
118|House Valuation in Islington|Hello, we are planning to upsize and would like to know how much our terraced house in Islington N1 is currently worth. We bought it 5 years ago for £750,000.|Valuation_Request|Islington N1|£750,000
119|(no subject)|hi can u come value my house in croydon next wednesday?|Valuation_Request|Croydon|N/A
120|Rental valuation enquiry|Dear Lettings Team, I have just completed the refurbishment of a 1-bedroom flat in E2. I am hoping to achieve £1,800 PCM. Can you conduct a rental valuation?|Valuation_Request|E2|£1,800 PCM
121|Property Appraisal|Hi, I am thinking of remortgaging and need an updated valuation on my leasehold flat in W11.|Valuation_Request|W11|N/A
122|selling my house|we want to sell our 4 bed detached in barnet EN5. could you value it for us? hoping for over 800,000.|Valuation_Request|EN5|£800,000
123|Request for agent to visit|Dear Sirs, please arrange for a valuer to visit my property in N8. I am a landlord with a portfolio looking to sell off this specific terraced unit.|Valuation_Request|N8|N/A
124|valuation|hi there, wondering if you do free valuations? i have a ground floor flat in SE15. thanks|Valuation_Request|SE15|N/A
125|Freehold Valuation|Good morning, I own a freehold commercial and residential mixed unit in Hackney E8. Could you advise on its current market value?|Valuation_Request|E8|N/A
126|URGENT: Broken Boiler|Hi, the boiler has packed in at the property in NW1. We have no hot water or heating and it is freezing. Please send someone ASAP!|Maintenance_Issue|NW1|N/A
127|Leak in bathroom|Dear property management, there is a steady drip coming from the ceiling in the bathroom of Flat 4, E14. Looks like it's from the flat above.|Maintenance_Issue|E14|N/A
128|washing machine broken|hi the washing machine isnt draining. im at the SW2 flat. can u get it fixed?|Maintenance_Issue|SW2|N/A
129|Electrics tripping|Hello, the fuse box keeps tripping every time we turn on the oven at the terraced house in N15. We urgently need an electrician.|Maintenance_Issue|N15|N/A
130|FRIDGE IS DEAD|the fridge freezer has completely stopped working. all our food is going off!!! we pay 2200 pcm for this place, expect things to work! fix it today.|Maintenance_Issue|N/A|£2200 pcm
131|Mould in bedroom|Dear Lettings, I am writing to report black mould developing around the windows in the master bedroom in the SE10 property. The EPC rating is terrible here, it's so damp.|Maintenance_Issue|SE10|N/A
132|(no subject)|front door lock is sticking really badly on the flat in camden, took me 10 mins to get in today. needs oiling or replacing|Maintenance_Issue|Camden|N/A
133|Blocked drain|Hi team, the kitchen sink at the SW17 house is completely blocked. We have tried plunging it but no luck.|Maintenance_Issue|SW17|N/A
134|radiator not working|the radiator in the lounge isn't heating up at all. tried bleeding it but didn't help. flat in W12.|Maintenance_Issue|W12|N/A
135|urgent leak|WATER IS POURING THROUGH THE KITCHEN LIGHT FITTING!!! SEND HELP NOW TO FLAT 2 BRIXTON|Maintenance_Issue|Brixton|N/A
136|Window wont shut|Afternoon, the sash window in the front room of the N1 leasehold property is jammed open. As a security risk, please can a contractor look at this?|Maintenance_Issue|N1|N/A
137|loose floorboard|hi, theres a really loose floorboard on the landing in the E11 house. afraid someones going to trip on it.|Maintenance_Issue|E11|N/A
138|Bins not collected / Pest issue|Dear Lettings, the council haven't collected our bins in 3 weeks and now we have foxes tearing the rubbish apart in the front garden of the N22 property. Please advise.|Maintenance_Issue|N22|N/A
